наименование (город / страна)	житель (он, м.р.)	жительница (она, ж.р.)	жители (они, мн.ч.)
Микроне́зия	микронези́ец	микронези́йка	микронези́йцы
Миннесо́та	миннисо́тец	миннисо́тка	миннисо́тцы
Минск	минча́нин	минча́нка	минча́не
Миссиси́пи	миссиси́пец	миссиси́пка	миссиси́пцы
Миссу́ри	миссу́ринец	миссу́ринка	миссу́ринцы
Мичига́н	мичига́нец	мичига́нка	мичига́нцы
Могади́шо	могади́шец	могади́шка	могади́шцы
Мозамби́к	мозамби́кец	мозамби́йка	мозамби́кцы
Молда́вия	молдава́нин	молдава́нка	молдава́не
Мона́ко	монега́ск	монега́ска	монега́ски
Мона́ко	мона́ковец	мона́ковка	мона́кцы
Монго́лия	монго́л	монго́лка	монго́лы
Монро́вия	монро́вец	монро́вка	монро́вцы
Монта́на	монта́навец	монта́навка	монта́навцы
